,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,umap_metric,loss,n_labels,below_threshold
23,eom,euclidean,15,13,40,cosine,20.0,50,60
59,eom,euclidean,20,20,55,cosine,21.0,51,33
85,eom,euclidean,15,23,55,cosine,21.0,51,55
56,eom,euclidean,20,9,45,hellinger,21.0,51,44
86,eom,euclidean,15,5,55,cosine,21.0,51,53
100,eom,euclidean,20,20,45,hellinger,21.0,51,38
102,eom,euclidean,20,5,40,cosine,22.0,52,46
26,eom,euclidean,10,20,55,cosine,22.0,52,121
22,eom,euclidean,15,13,40,hellinger,22.0,52,58
191,eom,euclidean,20,13,45,hellinger,22.0,52,40
118,eom,euclidean,20,13,55,cosine,22.0,52,39
98,eom,euclidean,10,13,55,cosine,22.0,52,124
109,eom,euclidean,15,20,40,hellinger,22.0,52,61
32,eom,euclidean,20,23,40,hellinger,22.0,52,41
15,eom,euclidean,15,5,55,hellinger,23.0,53,57
72,eom,euclidean,15,17,45,cosine,23.0,53,58
167,eom,euclidean,20,20,40,hellinger,23.0,53,44
53,eom,euclidean,10,13,55,hellinger,23.0,53,111
153,eom,euclidean,15,20,40,cosine,23.0,53,69
2,eom,euclidean,20,17,40,hellinger,23.0,53,37
73,eom,euclidean,10,20,55,hellinger,23.0,53,110
10,eom,euclidean,20,20,40,hellinger,24.0,54,39
97,eom,euclidean,20,9,45,hellinger,24.0,54,39
33,eom,euclidean,15,20,40,hellinger,24.0,54,68
91,eom,euclidean,20,13,55,cosine,24.0,54,40
7,eom,euclidean,15,13,55,cosine,24.0,54,60
135,eom,euclidean,20,5,55,cosine,24.0,54,43
49,eom,euclidean,10,17,40,hellinger,25.0,55,132
63,eom,euclidean,15,13,55,hellinger,25.0,55,54
80,eom,euclidean,10,23,40,hellinger,25.0,55,138
96,eom,euclidean,20,5,55,cosine,25.0,55,42
177,eom,euclidean,20,13,40,cosine,25.0,55,47
108,eom,euclidean,20,23,45,hellinger,25.0,55,43
123,eom,euclidean,20,5,45,hellinger,25.0,55,42
141,eom,euclidean,10,23,55,cosine,25.0,55,114
161,eom,euclidean,20,13,55,cosine,25.0,55,35
157,eom,euclidean,10,23,55,cosine,25.0,55,136
74,eom,euclidean,15,17,40,hellinger,25.0,55,63
39,eom,euclidean,15,17,55,hellinger,25.0,55,55
160,eom,euclidean,10,13,55,cosine,25.0,55,118
197,eom,euclidean,15,20,40,cosine,25.0,55,69
27,eom,euclidean,20,5,55,cosine,25.0,55,44
131,eom,euclidean,15,23,40,cosine,26.0,56,64
83,eom,euclidean,20,23,25,cosine,26.0,56,49
163,eom,euclidean,15,17,55,cosine,26.0,56,62
115,eom,euclidean,20,23,40,hellinger,26.0,56,35
140,eom,euclidean,20,9,40,hellinger,26.0,56,39
121,eom,euclidean,20,23,45,cosine,26.0,56,45
31,eom,euclidean,10,13,55,hellinger,26.0,56,120
110,eom,euclidean,15,17,40,hellinger,26.0,56,58
149,eom,euclidean,15,17,40,hellinger,26.0,56,72
4,eom,euclidean,15,23,45,hellinger,26.0,56,59
18,eom,euclidean,15,13,40,cosine,26.0,56,64
174,eom,euclidean,15,5,45,cosine,27.0,57,61
84,eom,euclidean,15,13,55,hellinger,27.0,57,56
1,eom,euclidean,20,20,40,hellinger,27.0,57,40
194,eom,euclidean,10,5,40,hellinger,27.0,57,146
137,eom,euclidean,15,23,55,hellinger,27.0,57,51
104,eom,euclidean,20,13,40,cosine,27.0,57,46
188,eom,euclidean,15,23,40,cosine,27.0,57,70
120,eom,euclidean,10,23,55,hellinger,27.0,57,117
13,eom,euclidean,20,13,45,cosine,27.0,57,37
184,eom,euclidean,15,20,55,cosine,27.0,57,56
193,eom,euclidean,20,5,55,cosine,27.0,57,38
190,eom,euclidean,20,5,40,hellinger,28.0,58,49
42,eom,euclidean,20,23,55,hellinger,28.0,2,0
76,eom,euclidean,20,17,45,cosine,28.0,58,45
93,eom,euclidean,15,20,40,cosine,28.0,58,71
195,eom,euclidean,15,9,55,hellinger,28.0,58,56
128,eom,euclidean,10,13,45,cosine,28.0,58,137
156,eom,euclidean,20,17,45,cosine,28.0,58,43
57,eom,euclidean,10,20,55,hellinger,28.0,58,125
68,eom,euclidean,20,13,55,hellinger,28.0,2,0
87,eom,euclidean,20,17,45,hellinger,28.0,2,0
170,eom,euclidean,15,5,55,cosine,28.0,58,47
155,eom,euclidean,10,13,45,hellinger,28.0,58,123
142,eom,euclidean,20,23,55,cosine,28.0,2,0
143,eom,euclidean,20,5,45,hellinger,28.0,58,40
132,eom,euclidean,15,13,55,cosine,28.0,58,57
171,eom,euclidean,20,17,45,hellinger,28.0,2,0
112,eom,euclidean,10,23,45,hellinger,29.0,59,121
166,eom,euclidean,15,5,45,cosine,29.0,59,69
37,eom,euclidean,10,13,45,hellinger,29.0,59,129
148,eom,euclidean,15,9,45,hellinger,29.0,59,74
47,eom,euclidean,15,13,45,hellinger,29.0,59,61
50,eom,euclidean,20,17,20,cosine,29.0,59,55
185,eom,euclidean,10,23,55,cosine,29.0,59,117
152,eom,euclidean,15,17,25,cosine,29.0,59,88
150,eom,euclidean,20,20,40,hellinger,29.0,59,42
122,eom,euclidean,20,13,45,cosine,29.0,59,40
101,eom,euclidean,10,5,55,cosine,29.0,59,128
136,eom,euclidean,20,13,20,cosine,29.0,59,56
66,eom,euclidean,10,23,40,hellinger,29.0,59,133
162,eom,euclidean,10,5,45,hellinger,29.0,59,117
29,eom,euclidean,20,20,20,hellinger,29.0,59,55
127,eom,euclidean,20,5,55,hellinger,29.0,59,35
183,eom,euclidean,15,9,55,hellinger,29.0,59,60
168,eom,euclidean,20,13,25,cosine,30.0,60,58
116,eom,euclidean,20,9,45,hellinger,30.0,60,41
3,eom,euclidean,10,9,40,cosine,30.0,60,132
126,eom,euclidean,20,17,25,cosine,30.0,60,57
16,eom,euclidean,10,17,45,hellinger,30.0,60,136
17,eom,euclidean,20,17,20,cosine,30.0,60,63
173,eom,euclidean,20,9,40,hellinger,30.0,60,40
61,eom,euclidean,20,5,45,cosine,30.0,60,45
20,eom,euclidean,10,9,40,hellinger,30.0,60,129
43,eom,euclidean,15,5,45,hellinger,30.0,60,61
75,eom,euclidean,10,23,40,hellinger,30.0,60,132
78,eom,euclidean,10,23,45,cosine,30.0,60,134
30,eom,euclidean,20,9,45,cosine,30.0,60,42
138,eom,euclidean,20,17,20,hellinger,31.0,61,57
62,eom,euclidean,20,13,25,cosine,31.0,61,53
69,eom,euclidean,15,23,45,cosine,31.0,61,61
71,eom,euclidean,20,13,25,cosine,31.0,61,66
54,eom,euclidean,20,13,25,cosine,31.0,61,56
79,eom,euclidean,15,20,45,cosine,31.0,61,64
139,eom,euclidean,15,9,40,hellinger,31.0,61,64
180,eom,euclidean,20,5,45,cosine,31.0,61,42
