,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
568,eom,euclidean,20,5,40,0.05,euclidean,5.0
577,eom,euclidean,20,5,40,0.05,euclidean,7.0
576,eom,euclidean,20,5,40,0.05,euclidean,7.0
555,eom,euclidean,20,5,40,0.1,euclidean,8.0
563,eom,euclidean,20,5,40,0.1,euclidean,8.0
556,eom,euclidean,20,5,40,0.1,euclidean,9.0
537,eom,euclidean,20,5,45,0.1,euclidean,10.0
571,eom,euclidean,20,5,40,0.05,euclidean,10.0
539,eom,euclidean,20,5,45,0.1,euclidean,10.0
552,eom,euclidean,20,5,40,0.1,euclidean,10.0
544,eom,euclidean,20,5,45,0.1,euclidean,13.0
526,eom,euclidean,20,5,45,0.1,euclidean,13.0
565,eom,euclidean,20,5,40,0.1,euclidean,13.0
553,eom,euclidean,20,5,40,0.1,euclidean,13.0
569,eom,euclidean,20,5,40,0.05,euclidean,14.0
562,eom,euclidean,20,5,40,0.1,euclidean,14.0
575,eom,euclidean,20,5,40,0.05,euclidean,15.0
239,eom,euclidean,25,13,45,0.1,euclidean,16.0
223,eom,euclidean,25,20,45,0.1,euclidean,16.0
145,eom,euclidean,25,9,45,0.1,cosine,16.0
152,eom,euclidean,25,9,45,0.1,cosine,16.0
317,eom,euclidean,25,5,45,0.1,cosine,16.0
62,eom,euclidean,25,9,45,0.1,cosine,16.0
97,eom,euclidean,25,9,45,0.1,cosine,17.0
545,eom,euclidean,20,5,55,0.1,euclidean,17.0
263,eom,euclidean,25,5,45,0.1,euclidean,17.0
268,eom,euclidean,25,7,45,0.1,euclidean,17.0
422,eom,euclidean,25,17,45,0.1,cosine,18.0
404,eom,euclidean,25,7,45,0.1,cosine,18.0
202,eom,euclidean,25,5,40,0.1,cosine,18.0
94,eom,euclidean,25,9,45,0.1,cosine,18.0
401,eom,euclidean,25,9,45,0.1,cosine,19.0
447,eom,euclidean,25,20,45,0.1,cosine,19.0
414,eom,euclidean,25,5,45,0.1,cosine,19.0
403,eom,euclidean,25,9,45,0.1,cosine,20.0
266,eom,euclidean,25,13,45,0.1,euclidean,20.0
560,eom,euclidean,20,5,40,0.15,euclidean,20.0
326,eom,euclidean,25,5,45,0.1,euclidean,20.0
234,eom,euclidean,25,20,55,0.1,euclidean,21.0
93,eom,euclidean,25,9,45,0.1,cosine,21.0
407,eom,euclidean,25,5,45,0.1,cosine,21.0
330,eom,euclidean,25,5,45,0.1,cosine,21.0
182,eom,euclidean,25,9,45,0.1,cosine,21.0
338,eom,euclidean,25,13,45,0.1,cosine,21.0
196,eom,euclidean,25,13,55,0.1,cosine,21.0
477,eom,euclidean,25,17,45,0.1,cosine,21.0
89,eom,euclidean,25,9,45,0.1,cosine,22.0
87,eom,euclidean,25,9,45,0.1,cosine,22.0
91,eom,euclidean,25,9,45,0.1,cosine,22.0
402,eom,euclidean,25,13,45,0.1,cosine,22.0
147,eom,euclidean,25,9,45,0.1,cosine,22.0
444,eom,euclidean,25,13,45,0.1,euclidean,22.0
14,eom,euclidean,25,20,45,0.1,euclidean,22.0
259,eom,euclidean,25,3,45,0.1,euclidean,23.0
484,eom,euclidean,25,5,45,0.15,euclidean,24.0
372,eom,euclidean,25,5,45,0.15,euclidean,26.0
138,eom,euclidean,25,9,45,0.15,cosine,26.0
388,eom,euclidean,25,7,55,0.15,euclidean,26.0
228,eom,euclidean,25,20,45,0.15,euclidean,27.0
141,eom,euclidean,25,17,25,0.1,cosine,27.0
179,eom,euclidean,25,5,45,0.1,cosine,27.0
333,eom,euclidean,25,5,45,0.1,cosine,27.0
366,eom,euclidean,25,17,45,0.1,cosine,28.0
387,eom,euclidean,25,13,45,0.1,cosine,28.0
275,eom,euclidean,20,9,40,0.1,euclidean,28.0
106,eom,euclidean,25,3,40,0.1,cosine,31.0
323,eom,euclidean,25,5,55,0.1,euclidean,32.0
465,eom,euclidean,25,9,40,0.1,euclidean,33.0
